name,typ,Schicht,Anz,lat,lng,LK,Ort
Rotkreuz Esslingen 1,NEF,24,1,48.7368,9.3277,Esslingen,Esslingen
Rotkreuz Esslingen 1,RTW,24,2,48.7368,9.3277,Esslingen,Esslingen
Rotkreuz Esslingen 1,RTW,12,1,48.7368,9.3277,Esslingen,Esslingen
Rotkreuz Esslingen 1,KTW,24,1,48.7368,9.3277,Esslingen,Esslingen
Rotkreuz Esslingen 1,KTW,12,3,48.7368,9.3277,Esslingen,Esslingen
Rotkreuz Esslingen 2,NEF,24,1,48.7423,9.2550,Esslingen,Ostfildern-Ruit
Rotkreuz Esslingen 2,RTW,24,1,48.7423,9.2550,Esslingen,Ostfildern-Ruit
Rotkreuz Esslingen 3,NEF,24,1,48.6485,9.2041,Esslingen,Filderstadt-Bonlanden
Rotkreuz Esslingen 3,RTW,24,1,48.6485,9.2041,Esslingen,Filderstadt-Bonlanden
Rotkreuz Esslingen 3,RTW,12,1,48.6485,9.2041,Esslingen,Filderstadt-Bonlanden
Rotkreuz Esslingen 4,NEF,24,1,48.6239,9.3414,Esslingen,Nürtingen
Rotkreuz Esslingen 4,RTW,24,2,48.6239,9.3414,Esslingen,Nürtingen
Rotkreuz Esslingen 4,RTW,12,1,48.6239,9.3414,Esslingen,Nürtingen
Rotkreuz Esslingen 4,KTW,??,?,48.6239,9.3414,Esslingen,Nürtingen
Rotkreuz Esslingen 5,NEF,24,1,48.6515,9.44266,Esslingen,Kirchheim
Rotkreuz Esslingen 5,RTW,24,2,48.6506,9.4359,Esslingen,Kirchheim
Rotkreuz Esslingen 5,RTW,12,1,48.6506,9.4359,Esslingen,Kirchheim
Rotkreuz Esslingen 5,KTW,12,3,48.6506,9.4359,Esslingen,Kirchheim
Rotkreuz Esslingen 6,RTW,0,1,48.7077,9.1423,Esslingen,Leinfelden-Echterdingen
Akkon Esslingen 9,KTW,??,5,48.7147,9.3257,Esslingen,Esslingen-Berkheim
Sama Esslingen 11,KTW,??,?,48.7245,9.3031,Esslingen,Esslingen-Pliensauvorstadt
Johannes Esslingen 13,NEF,24,1,48.6604,9.2252,Esslingen,Filderstadt-Bonlanden
Johannes Esslingen 14,RTW,24,1,48.6386,9.3439,Esslingen,Nürtingen
Johannes Esslingen 14,KTW,??,?,48.6386,9.3439,Esslingen,Nürtingen
Rotkreuz Esslingen 15,NEF,12,1,48.5831,9.4461,Esslingen,Owen
Johannes Esslingen 16,RTW,24,1,48.7077,9.1423,Esslingen,Leinfelden-Echterdingen
Johannes Esslingen 17,NEF,24,1,48.7148,9.4104,Esslingen,Plochingen
Johannes Esslingen 17,RTW,24,1,48.7148,9.4104,Esslingen,Plochingen
Johannes Esslingen 17,RTW,12,1,48.7148,9.4104,Esslingen,Plochingen
Johannes Esslingen 17,KTW,12,1,48.7148,9.4104,Esslingen,Plochingen
Akkon Esslingen 19,RTW,24,1,48.6743,9.1835,Esslingen,LE-Stetten
Rettung Esslingen 24,KTW,??,?,48.5996,9.3548,Esslingen, Frickenhausen

Rotkreuz Stuttgart 1,NEF,24,1,48.7886,9.1940,Stuttgart,Stadtmitte
Rotkreuz Stuttgart 1,RTW,24,3,48.7886,9.1940,Stuttgart,Stadtmitte
Rotkreuz Stuttgart 1,RTW,16,3,48.7886,9.1940,Stuttgart,Stadtmitte
Rotkreuz Stuttgart 2,NEF,24,1,48.8153,9.1878,Stuttgart,RBK
Rotkreuz Stuttgart 2,RTW,24,1,48.8153,9.1878,Stuttgart,RBK
Rotkreuz Stuttgart 4,RTW,24,2,48.7197,9.1272,Stuttgart,Vaihingen
Florian Stuttgart 5,NEF,24,1,48.7323,9.1567,Stuttgart,Möhringen
Florian Stuttgart 5,RTW,24,2,48.7323,9.1567,Stuttgart,Möhringen
Akkon Stuttgart 6,RTW,24,2,48.8311,9.1608,Stuttgart,Zuffenhausen
Akkon Stuttgart 6,RTW,16,1,48.8311,9.1608,Stuttgart,Zuffenhausen
Akkon Stuttgart 6,RTW,12,2,48.8311,9.1608,Stuttgart,Zuffenhausen
Johannes Stuttgart 8,RTW,24,1,48.7816,9.1637,Stuttgart,Diak
Johannes Stuttgart 8,RTW,12,1,48.7816,9.1637,Stuttgart,Diak
Akkon Stuttgart 11,NEF,24,1,48.7620,9.1628,Stuttgart,MaHo
Akkon Stuttgart 11,NEF,12,1,48.7620,9.1628,Stuttgart,MaHo
Sama Stuttgart 12,NEF,12,1,48.7912,9.1789,Stuttgart,Türlenstraße
